,index,prediction
1955,18751,20.0 volt
1956,18754,
1214,18755,
2727,18756,
1260,18757,220.0 pound
1215,18767,1200.0 watt
1957,18768,220.0 volt
1216,18775,66.0 watt
1958,18776,
2751,18781,355.0 millilitre
1959,18787,12.0 volt
1217,18795,14.0 watt
1960,18796,24.0 volt
1218,18802,48.0 watt
1961,18803,120.0 volt
1261,18812,330.0 pound
1219,18814,
1962,18816,120.0 volt
1262,18819,2
1263,18821,66.0 gram
2840,18858,45.0 millilitre
2833,18859,473.0 millilitre
1220,18862,
1264,18871,20.5
1221,18884,
1963,18885,
1265,18936,220.0 pound
1964,18949,3.70 volt
1965,18957,
1222,18958,1500.0 watt
1966,18959,
1266,18988,2200.0 pound
1267,18995,40.0 pound
1223,19014,
1967,19015,
2412,19044,128.0 fluid ounce
1268,19056,440.0 pound
1269,19065,220.0 pound
2609,19069,
1270,19086,250.0 pound
1968,19089,
1271,19094,300.0 pound
1969,19104,
1224,19105,
2555,19130,14.0 millilitre
1970,19143,78.0 volt
1225,19144,
1971,19145,
1226,19146,1500.0 watt
1272,19156,17
3219,19167,30.0 millilitre
1273,19181,8
3133,19187,1.0 litre
1972,19189,
1227,19190,2.0 watt
1274,19199,144.7
1275,19203,220.0 pound
1228,19211,900.0 watt
1276,19216,220.0 pound
1973,19226,
1974,19239,
1229,19240,
1230,19263,1400.0 watt
1975,19265,
1976,19271,
1231,19272,
3258,19274,150.0 millilitre
1232,19303,
1977,19304,12.0 volt
1978,19311,5.0 volt
1277,19314,3.4
1278,19334,40.0 pound
1233,19337,700.0 watt
1279,19339,240.0 pound
1979,19347,
1280,19350,220
1234,19353,1050.0 watt
1980,19367,
1235,19368,
1981,19369,
1236,19370,
1281,19380,350.0 pound
1282,19392,30.0 pound
1237,19416,
1982,19417,
1283,19429,42
1983,19436,
1238,19438,750.0 watt
1284,19452,93.0 pound
1285,19454,250.0 kilogram
1984,19478,
3058,19480,
1286,19488,110.0 pound
1985,19491,
1986,19492,
1239,19493,1500.0 watt
1287,19494,
1288,19505,
1987,19532,100.0 volt
1240,19533,600.0 watt
1988,19554,5.0 volt
1241,19556,
1989,19557,
1990,19564,
1289,19572,330.0 pound
1242,19582,13.0 watt
1991,19583,
3100,19596,30.0 millilitre
1290,19612,220.0 pound
1992,19629,220.0 volt
1243,19631,1000.0 watt
1291,19646,300.0 pound
3082,19666,473.0 millilitre
1292,19667,
1993,19675,5.0 volt
1994,19681,
1244,19682,371030.0 watt
1995,19694,
1996,19702,
1997,19705,
1245,19706,
1998,19708,110.0 volt
1246,19709,1250.0 watt
1293,19752,330.0 pound
1999,19758,
1247,19759,
1294,19775,50.0 kilogram
3284,19791,
1248,19794,
2000,19795,
2001,19797,
1249,19827,3.45 watt
2002,19828,
1250,19832,
2003,19833,
2004,19849,
1251,19850,32.0 watt
1252,19851,460.0 watt
2005,19853,
1295,19856,150.0 kilogram
1253,19858,
2006,19859,
2007,19871,
1254,19872,15.0 watt
1255,19884,45.0 watt
2008,19886,
1296,19895,264.5 pound
1256,19900,9.0 watt
2009,19907,
1297,19910,35.0 pound
1298,19922,100.0 kilogram
3311,19923,59.0 millilitre
2010,19924,
2011,19956,
1299,19980,500
2012,20007,
2013,20016,24.0 volt
2014,20020,
1257,20021,
3179,20030,11.0 fluid ounce
3213,20041,330.0 millilitre
1300,20071,150.0 kilogram
2015,20120,
1301,20122,330.0 pound
1302,20143,800.0 pound
1303,20145,600.0 pound
1304,20155,49
2016,20156,
1258,20182,49.0 watt
2017,20183,
2018,20186,220.0 volt
1259,20187,600.0 watt
1305,20205,
1306,20206,48
1260,20229,0.70 watt
2019,20230,12.0 volt
2020,20242,"[220.0, 240.0] volt"
1261,20243,
2439,20247,
1307,20251,225.5 gram
1262,20270,1300.0 watt
2021,20271,220.0 volt
2409,20281,160.0 fluid ounce
2022,20322,
1263,20323,
1264,20359,1.0 watt
2023,20360,
2612,20365,1.0 litre
1308,20377,
1309,20391,35.0 pound
2024,20392,
1265,20410,
2025,20411,
1266,20413,900.0 watt
2784,20456,
1310,20482,280.0 pound
2026,20491,24.0 volt
1267,20492,120.0 watt
2027,20501,
1268,20502,500.0 watt
2763,20509,
1269,20527,
2028,20528,12.0 volt
1311,20529,110.0 pound
2029,20538,
1270,20540,
2030,20541,
1271,20556,
2031,20557,
2032,20560,
1312,20589,265.0 pound
1272,20598,
2033,20599,
1273,20600,
2034,20601,12.0 volt
2748,20609,
1313,20617,331.0 pound
1314,20618,330.0 pound
1315,20625,70.6 pound
1274,20628,
1316,20631,220.0 pound
1317,20637,70.0 pound
2035,20645,
1275,20663,
2036,20664,
3763,20667,
2037,20676,180.0 volt
1276,20677,
1318,20707,10
2038,20717,24.0 volt
1277,20718,
1319,20737,330.0 pound
2039,20738,20.0 volt
1278,20748,1200.0 watt
3695,20750,
1279,20781,
2040,20782,
2041,20790,
2042,20792,
3503,20793,236.0 millilitre
3381,20804,33.8 fluid ounce
2043,20805,
1320,20818,
2044,20826,
1321,20827,
1322,20829,500.0 pound
3524,20881,200.0 millilitre
3631,20883,710.0 millilitre
1323,20893,220.0 pound
1324,20895,1.2 kilogram
1325,20904,35.0 pound
3678,20910,
3686,20923,180.0 millilitre
1280,20927,
2045,20928,
1326,20949,660.0 pound
1327,20966,200.0 pound
3565,20970,473.0 millilitre
1328,20994,280.0 pound
2046,21007,
1281,21008,800.0 watt
2047,21037,
1282,21038,
2048,21041,
3657,21045,325.0 millilitre
2049,21071,
1283,21072,44.0 watt
2050,21085,220.0 volt
1284,21086,
2051,21087,
1285,21088,
2052,21125,
1286,21126,
1329,21144,132.0 pound
3479,21145,500.0 millilitre
2053,21179,
1287,21180,
1288,21205,
2054,21206,
1330,21209,250.0 pound
2055,21216,5.0 volt
1289,21222,800.0 watt
2056,21223,220.0 volt
1331,21234,330.0 pound
2057,21249,4.20 volt
1332,21273,44.0 gram
1290,21288,
2058,21289,
2059,21290,
1333,21310,36
1334,21312,2.0 kilogram
2060,21319,
1291,21320,
1335,21359,220.0 pound
1336,21369,330.0 pound
2061,21373,
1292,21375,1200.0 watt
1337,21379,150.0 kilogram
1293,21381,
2062,21383,
2063,21396,
2064,21397,
1294,21398,
3566,21415,14.0 millilitre
3690,21421,
1338,21478,120.0 kilogram
2065,21479,
2066,21488,16.80 volt
1295,21489,
1296,21501,
2067,21502,
1297,21504,1200.0 watt
2068,21505,
1298,21555,700.0 watt
2069,21560,
1299,21561,
1339,21568,5600
2756,21605,355.0 millilitre
1340,21614,320.0 pound
2070,21656,
1300,21657,
2071,21660,
2072,21676,18.0 volt
1301,21686,
1341,21704,200140100
1302,21726,1500.0 watt
2073,21728,
2074,21731,
2075,21737,18.0 volt
1342,21762,2.0 pound
1343,21781,20.0 pound
1344,21784,100.0 kilogram
1345,21786,40.0 pound
2076,21787,12.0 volt
1303,21803,1475.0 watt
2077,21804,
2078,21805,
1346,21817,70.0 pound
1347,21818,34.0 ton
2640,21819,
2079,21831,
1304,21832,1500.0 watt
2080,21840,24.0 volt
1305,21841,
1306,21864,180.0 watt
2081,21865,
1348,21873,264.0 pound
1307,21877,1500.0 watt
2082,21878,
1308,21886,1050.0 watt
2083,21908,
1309,21910,1500.0 watt
1349,21932,330.0 pound
2084,21950,12.0 volt
1310,21952,
3313,21959,12.0 fluid ounce
2085,21962,20.0 volt
3261,22003,
3246,22015,
1311,22025,1000.0 watt
2086,22026,
1350,22032,450.0 pound
2963,22039,50.0 millilitre
1312,22044,500.0 watt
2087,22045,110.0 volt
1313,22052,301.0 watt
2088,22053,120.0 volt
1351,22061,330.0 pound
2981,22075,
2980,22077,
2933,22097,
1314,22106,48.0 watt
2089,22107,
3001,22115,
2090,22137,
1315,22138,1800.0 watt
1316,22140,
2091,22141,8.0 volt
2092,22142,120.0 volt
1352,22149,
1353,22153,1.3 pound
2093,22155,151.20 volt
1317,22169,1000.0 watt
2094,22170,
2095,22171,20.0 volt
1318,22176,20.0 watt
2096,22177,
1319,22180,1.50 kilowatt
2097,22181,
1354,22200,30
2098,22219,100.0 volt
1320,22220,
1321,22221,
2099,22224,12.0 volt
1322,22225,6.0 watt
1355,22241,100
1356,22248,
2100,22254,
1323,22255,
1357,22264,20
2101,22269,11.10 volt
2102,22271,
1324,22272,
1325,22289,
2103,22291,
2104,22314,
1326,22315,
2105,22330,
1327,22332,
1328,22348,30.0 watt
2106,22350,
1329,22357,
2107,22358,12.0 volt
1330,22368,3.0 watt
1358,22403,300.0 pound
1359,22410,150.0 kilogram
1360,22412,1.9 pound
1331,22433,
2108,22435,"[220.0, 240.0] volt"
1361,22462,
2109,22489,
1332,22490,
2110,22491,
1333,22497,200.0 watt
2111,22498,
2867,22521,
1334,22522,
2112,22523,
2113,22528,
2114,22549,
1335,22550,1400.0 watt
1336,22562,1200.0 watt
2115,22564,
2116,22573,
2117,22574,
1337,22575,
2118,22576,
2119,22610,160.0 volt
2120,22614,
2121,22622,
2122,22641,
1338,22642,1500.0 watt
2123,22669,
2124,22673,
1339,22676,
2125,22677,
2126,22699,115.0 volt
1340,22700,160.0 watt
3665,22710,8.0 millilitre
2127,22715,
2128,22750,360.0 volt
2129,22753,
1341,22754,240.0 watt
1362,22755,125.0 pound
1342,22775,300.0 watt
2130,22776,
1363,22790,100.0 pound
3809,22797,
1364,22808,8
2131,22823,
2132,22824,
2133,22837,20.0 volt
1365,22838,2
1343,22849,800.0 watt
2134,22881,21.0 volt
2135,22894,
1344,22895,
1366,22897,200.0 kilogram
3547,22901,296.0 millilitre
3536,22907,
1367,22912,556.0 gram
2136,22916,
1368,22932,
2137,22948,5.0 volt
1345,22949,1500.0 watt
2138,22951,
1369,22963,330.0 pound
2139,22972,
2140,22983,
1346,22984,
3697,23006,248.0 millilitre
3740,23012,
1347,23021,
2141,23022,115.0 volt
2142,23023,
2143,23024,
3765,23028,750.0 millilitre
2144,23041,
1348,23042,
2724,23052,550.0 millilitre
1370,23057,150.0 pound
2145,23086,
1349,23087,350.0 watt
2146,23104,
1350,23105,1700.0 watt
2147,23119,
2148,23122,
1351,23123,
1371,23145,12000.0 pound
1372,23163,330.0 pound
1373,23164,400.0 pound
1374,23179,180.0 kilogram
1375,23189,
1376,23194,30
2149,23199,21.0 volt
1352,23200,
2150,23205,
1377,23244,440.0 pound
1353,23248,
2151,23249,
2534,23256,237.0 millilitre
1354,23306,250.0 watt
2152,23307,
2153,23314,
1355,23315,
1378,23318,42
1379,23346,250.0 pound
2154,23349,
1380,23367,150.0 kilogram
1356,23372,1600.0 watt
2155,23374,
2156,23388,
2157,23404,12.0 volt
2158,23408,24.0 volt
1357,23410,
1358,23414,8.0 watt
2159,23415,12.0 volt
2160,23438,
2161,23452,
1381,23497,100.0 pound
1359,23502,
2162,23503,20.0 volt
1360,23568,
2163,23569,
2164,23572,
1361,23573,
1382,23583,77
1383,23590,264.0 pound
1384,23637,300.0 pound
2165,23662,230.0 volt
1362,23663,
1385,23665,
1386,23669,
2166,23682,
1363,23683,
2167,23684,115.0 volt
1387,23688,
1388,23702,440.0 pound
1364,23720,
2168,23721,12.0 volt
2169,23740,
2170,23742,
1365,23743,2200.0 watt
1389,23747,8.0 kilogram
2171,23750,
1366,23751,
2172,23767,115.0 volt
1367,23768,
1390,23769,90.0 pound
2173,23775,
1391,23783,800.0 pound
3149,23788,355.0 millilitre
1368,23797,5.0 watt
2174,23798,24.0 volt
1369,23799,
2175,23800,120.0 volt
3210,23801,750.0 millilitre
2176,23813,110.0 volt
1370,23814,3.0 kilowatt
1371,23823,
2177,23824,
1372,23849,400.0 watt
2178,23850,
1392,23851,330.0 pound
2577,23853,
1393,23858,330.0 pound
2179,23869,
2180,23893,
2586,23900,
1394,23915,650.0 pound
1395,23929,110.0 pound
1396,23938,10000.0 ton
1397,23959,
2181,23960,
1373,23961,1000.0 watt
2506,23967,
2511,23972,355.0 millilitre
2182,23980,18.0 volt
1374,23981,
2183,24006,
1375,24007,
2184,24033,12.0 volt
1376,24034,
2790,24035,
1398,24080,225.0 pound
1399,24097,200.0 kilogram
2675,24099,
1400,24127,24.5
1377,24136,1.30 watt
2185,24137,120.0 volt
2186,24161,24.0 volt
1378,24162,1.20 watt
1401,24170,180.0 pound
1402,24196,300.0 pound
2187,24224,15.0 volt
1379,24235,500.0 watt
2188,24255,220.0 volt
1380,24256,7.0 watt
1381,24263,1500.0 watt
2189,24264,
2190,24280,
1382,24281,1200.0 watt
1403,24306,35
1404,24320,990
2191,24323,230.0 volt
1383,24338,300117.0 watt
2192,24339,
1405,24343,22.0 pound
1384,24351,800.0 watt
2193,24352,"[220.0, 240.0] volt"
2194,24355,12.0 volt
3529,24358,
1385,24359,1700.0 watt
1406,24389,90.0 pound
2195,24390,
1386,24402,
2196,24403,5.0 volt
1407,24406,75
1387,24418,260.0 watt
2197,24419,
1388,24441,12.0 watt
2198,24442,115.0 volt
2199,24498,
1389,24499,120.90 watt
2200,24521,24.0 volt
1408,24525,300.0 pound
2201,24541,3.0 volt
1390,24553,60.0 watt
2202,24554,120.0 volt
2203,24558,25.0 volt
84,24568,
1409,24570,550.0 pound
2204,24598,110.0 volt
143,24599,500.0 millilitre
2205,24607,
1391,24608,
1392,24628,1500.0 watt
2206,24629,
154,24641,237.0 millilitre
1393,24648,500.0 watt
2207,24649,50.50 volt
2208,24659,12.0 volt
1394,24661,
2209,24664,24.0 volt
1395,24665,0.90 watt
1396,24687,6.0 watt
1397,24697,1300.0 watt
2210,24698,
1410,24707,
2211,24712,20.0 volt
1398,24740,
2212,24741,"[220.0, 240.0] volt"
1411,24747,33
2213,24749,
1399,24753,
2214,24754,
1400,24756,
2215,24757,"[220.0, 240.0] volt"
1412,24788,275.0 pound
2216,24791,
2217,24799,
1413,24806,270
1414,24816,40.0 pound
2218,24850,12.0 volt
1401,24874,600.0 watt
2219,24876,"[220.0, 240.0] volt"
1402,24877,
2220,24888,12.0 volt
1403,24889,
714,24915,
2221,24943,
1404,24944,
2222,24964,
1405,24965,
2223,24971,
1406,24972,1400.0 watt
1415,24983,45.0 pound
1416,24994,33
2224,24995,110.0 volt
1407,25011,1800.0 watt
2225,25012,
726,25015,
1417,25044,330.0 pound
1418,25047,20
1419,25050,75.0 pound
1408,25078,
2226,25079,
2227,25080,12.0 volt
1420,25081,503.0 gram
1421,25083,400.0 pound
2228,25121,3.70 volt
294,25140,
2229,25149,24.0 volt
1409,25150,90.0 watt
2230,25156,18.0 volt
2231,25160,9.0 volt
2232,25164,
1410,25165,1400.0 watt
1411,25178,
2233,25179,
2234,25191,
1422,25200,220.0 pound
2235,25201,
1412,25202,1500.0 watt
1413,25215,480.0 watt
2236,25216,230.0 volt
1414,25220,220.0 watt
1423,25233,330.0 pound
1415,25254,
552,25261,
2237,25264,120.0 volt
1416,25265,5.0 watt
2238,25273,20.0 volt
2239,25275,12.0 volt
1417,25276,
1418,25289,
2240,25290,2230303.6 volt
1419,25308,
1420,25313,120.0 watt
2241,25315,
420,25327,250.0 millilitre
1421,25328,
2242,25330,30.0 volt
1424,25351,
2243,25367,
2244,25368,
2245,25377,
1425,25384,500.0 pound
2246,25409,
2247,25410,
1426,25415,220.0 pound
1422,25420,350.0 watt
1423,25422,5.0 watt
1424,25438,
2248,25439,
446,25458,473.0 millilitre
2249,25474,20.0 volt
1425,25475,
1426,25486,
2250,25487,
1427,25488,132.0 pound
1428,25498,700.0 pound
1429,25500,400.0 pound
1430,25501,20.0 pound
2251,25524,
2252,25525,
509,25527,29.0 millilitre
1431,25530,330.0 pound
1432,25534,12.0 ton
1433,25597,10.0 kilogram
1434,25606,800.0 pound
1427,25611,60.0 watt
286,25622,14.0 fluid ounce
1435,25632,350.0 kilogram
1436,25633,15.0 gram
1437,25639,600.0 gram
1438,25647,120.0 kilogram
1439,25672,200.0 kilogram
2253,25689,
406,25690,20.0 millilitre
2254,25695,
1428,25696,
1429,25713,50.0 watt
2255,25714,
1440,25724,100.0 pound
2256,25726,12.0 volt
1430,25761,10.80 watt
2257,25762,28.0 volt
1441,25764,
2258,25765,
1431,25766,600.0 watt
2259,25769,
2260,25772,
2261,25778,
1432,25782,
2262,25783,
753,25796,
1442,25817,
1433,25826,
1443,25829,225.0 kilogram
2263,25830,20.0 volt
1434,25831,
2264,25835,
1435,25836,31.0 watt
2265,25842,12.0 volt
1436,25843,
1437,25851,4.80 watt
2266,25852,
2267,25868,9.0 volt
2268,25884,21.0 volt
2269,25912,
2270,25919,
1438,25920,
715,25950,330.0 millilitre
620,25957,
1439,25967,120.0 watt
2271,25968,
1444,25971,150.0 kilogram
1440,26004,
2272,26005,
1441,26010,
2273,26011,24.0 volt
2274,26018,
1442,26019,3.0 watt
1443,26025,1500.0 watt
2275,26026,120.0 volt
2276,26029,
1444,26030,
2277,26034,12.0 volt
1445,26037,1550.0 watt
1446,26046,0.0 watt
2278,26047,
2279,26054,
1447,26055,
1448,26068,0.0 watt
2280,26069,230.0 volt
1449,26070,1350.0 watt
2281,26071,
1450,26073,2400.0 watt
643,26088,
2282,26099,
1451,26102,1.40 watt
2283,26103,24.0 volt
1445,26107,75.0 pound
2284,26140,
1452,26141,
1446,26160,110.0 pound
23,26165,946.0 millilitre
56,26173,100.0 millilitre
2285,26174,
2286,26189,
1447,26195,1000.0 pound
1448,26196,4.0 kilogram
218,26200,11.2 fluid ounce
1449,26209,
268,26223,473.0 millilitre
2287,26225,
2288,26231,12.0 volt
1453,26232,2.70 watt
2289,26234,
2290,26246,
1450,26247,265.0 pound
1451,26259,
1452,26266,50.0 pound
1453,26298,22.4
1454,26304,
2291,26305,
1455,26307,
2292,26308,
2293,26316,
2294,26339,12.0 volt
1456,26340,4.0 watt
1454,26349,6.0 pound
2295,26371,120.0 volt
1457,26372,
1455,26397,440.0 pound
1456,26407,220.0 pound
176,26408,30.0 millilitre
1457,26409,3500.0 pound
58,26423,330.0 millilitre
1458,26441,220
1459,26444,18.6 kilogram
1458,26474,44.0 watt
2296,26475,
1460,26518,150.0 kilogram
1461,26531,300.0 pound
1462,26536,330.0 pound
1901,26569,177.0 millilitre
1459,26582,1.0 watt
2297,26583,
1460,26591,21.0 watt
2298,26592,
1461,26602,
2299,26611,5.0 volt
1463,26658,2.0 kilogram
1462,26661,
1463,26665,1700.0 watt
2300,26666,
2301,26667,
1464,26668,
1465,26680,36.0 watt
2302,26681,
1464,26722,264.0 pound
2303,26757,
1466,26760,
2304,26761,
1467,26768,2.0 kilowatt
1465,26800,500.0 kilogram
2305,26820,
1468,26821,1200.0 watt
1466,26828,330.0 pound
1469,26844,
2306,26845,120.0 volt
2307,26847,
1470,26848,
1467,26866,400.0 pound
1471,26876,
2308,26877,115.0 volt
1468,26884,2.5 ton
1469,26902,110.0 pound
1470,26942,12.0 kilogram
2309,26944,
1472,26945,
1471,26946,300.0 pound
1472,26947,800.0 pound
2310,26949,
1473,26950,
2311,26958,
1474,26959,1300.0 watt
1684,26976,237.0 millilitre
1473,26977,
1475,26992,
2312,26993,110.0 volt
1474,27017,50.0 kilogram
1644,27019,355.0 millilitre
1475,27041,13.2 pound
1476,27065,270.0 watt
2313,27066,
2314,27072,30.0 volt
1477,27073,
1476,27076,22.0 pound
1477,27081,
2315,27098,
1478,27100,1800.0 watt
1479,27122,
2316,27123,12.0 volt
1478,27130,90
1479,27155,60
1480,27164,330.0 pound
2317,27175,12.0 volt
1480,27179,5.0 watt
2318,27180,24.0 volt
1481,27210,
1482,27213,30.0 watt
1481,27236,330.0 pound
2319,27255,
1483,27261,
2320,27263,
1482,27288,265.0 pound
1484,27303,1200.0 watt
1485,27304,4.80 watt
2321,27305,28.0 volt
2322,27335,
1486,27351,1500.0 watt
2323,27352,
2262,27381,215.0 millilitre
2324,27384,
1487,27385,
2325,27407,
1483,27415,400.0 pound
2326,27428,
1488,27429,500.0 watt
2216,27435,355.0 millilitre
2215,27439,473.0 millilitre
2248,27453,
1484,27454,52
1485,27468,35.0 pound
2254,27469,55.0 millilitre
2327,27470,170.0 volt
1489,27471,
1486,27473,77
1487,27475,2000.0 pound
1488,27476,350.0 pound
2245,27480,2.7 millilitre
1490,27483,800.0 watt
2328,27484,6.0 volt
1489,27497,265.0 pound
1491,27514,
2329,27516,12.0 volt
1492,27523,
2330,27524,18.0 volt
1490,27540,220.0 pound
1493,27547,1500.0 watt
2331,27548,
1491,27553,
2401,27556,
1492,27564,0.0 gram
2332,27581,7.40 volt
2333,27592,
1494,27597,1700.0 watt
2334,27598,
2327,27623,5.0 millilitre
1495,27657,
2335,27658,
1496,27719,460.0 watt
2336,27720,
2337,27732,12.0 volt
1497,27735,
2338,27736,
2339,27739,21.0 volt
1498,27750,
2340,27751,12.0 volt
1493,27759,5
1494,27792,44.0 pound
2341,27808,
2342,27857,
1495,27875,10.0 gram
1496,27892,240.0 pound
1499,27897,4.0 watt
2343,27898,
1497,27899,50
2344,27902,5.0 volt
1500,27903,
1498,27904,440.0 pound
2064,27905,30.0 millilitre
1501,27920,
2345,27921,
2346,27928,
1499,27931,820
2347,27934,7.40 volt
1502,27962,37.0 watt
2348,27963,
1500,27966,20
2349,27984,
1503,27985,
2350,27992,
1504,27994,3.0 watt
1505,28010,65.0 watt
2351,28011,420.0 volt
1501,28046,220
2133,28053,912.7 millilitre
1506,28054,
2352,28055,
2353,28056,3.60 volt
1502,28099,330.0 pound
2354,28104,5.0 volt
1503,28154,125.0 pound
1123,28163,
1507,28171,
2355,28172,
1504,28175,450.0 pound
1505,28184,281
1506,28186,75.0 pound
1508,28201,6173.0 watt
1149,28203,250.0 millilitre
1509,28207,324.0 watt
2356,28209,
1510,28216,
2357,28217,5.0 volt
2358,28221,
1511,28222,
2359,28233,
2360,28234,
1512,28235,240.0 watt
1513,28236,65.90 watt
2361,28237,
1507,28248,
2362,28250,
1514,28251,
2363,28260,220.0 volt
1515,28261,1500.0 watt
1508,28270,250.0 pound
1516,28277,0.85 watt
2364,28278,120.0 volt
1509,28281,250.0 pound
1517,28295,
2365,28296,
1101,28305,225.0 millilitre
2366,28312,115.0 volt
1102,28321,
2367,28330,12.0 volt
1518,28331,
1510,28390,2.0 kilogram
1511,28391,
1512,28404,500.0 pound
2368,28411,
1519,28412,12.0 watt
1513,28427,330.0 pound
2369,28428,
1520,28434,33.0 watt
2370,28435,
2371,28436,48.0 volt
2372,28440,110.0 volt
1521,28442,800.0 watt
2373,28445,21.60 volt
2374,28453,
1522,28458,
2375,28460,24.0 volt
1523,28461,2.0 watt
1514,28473,2000.0 pound
1515,28493,10.0 kilogram
1516,28502,18.0 pound
1517,28515,
2376,28540,"[220.0, 240.0] volt"
1524,28541,65.0 watt
1525,28547,
2377,28549,
1526,28551,
2378,28552,12.0 volt
2379,28564,
1527,28573,100.0 watt
1528,28574,
2380,28575,36.0 volt
1529,28583,
2381,28584,12.0 volt
1518,28590,1.6
1519,28606,20.0 pound
1520,28631,120.0 kilogram
1530,28662,
2382,28663,
908,28674,
1521,28703,33.0 pound
1522,28713,200
2383,28727,
1531,28728,160.0 watt
2384,28731,3.80 volt
1022,28733,
2385,28734,
1532,28735,
2386,28758,110.0 volt
1533,28763,
2387,28764,
2388,28765,
1523,28777,110.2 pound
2389,28788,
1534,28794,460.0 watt
1524,28796,350.0 pound
1525,28800,112
2390,28803,
1535,28805,
1536,28822,1700.0 watt
984,28831,
1526,28834,330.0 pound
1001,28850,30.0 millilitre
1527,28865,33.0 pound
1537,28880,2000.0 watt
2391,28882,
2392,28883,
1538,28885,
1539,28890,
2393,28891,
1528,28933,176.0 pound
1540,28938,
1541,28951,
1542,28955,
2394,28956,12.0 volt
1543,29005,1200.0 watt
1529,29014,1650.0 pound
2395,29024,110.0 volt
1544,29025,
1530,29032,
1531,29045,60.0 pound
2396,29053,
1545,29076,1700.0 watt
2397,29077,
1546,29086,2200.0 watt
2398,29087,
1603,29097,120.0 millilitre
2399,29100,
1632,29151,355.0 millilitre
1547,29166,
2400,29167,
1532,29182,25.0 pound
2401,29187,
1548,29188,
1549,29193,
2402,29194,"[220.0, 240.0] volt"
2403,29209,20.0 volt
1558,29213,
2404,29223,
1550,29224,
1551,29232,
2405,29233,
1533,29249,330.0 pound
1552,29302,10.0 watt
2406,29318,
1553,29319,
1534,29321,50.0 pound
1554,29326,103.0 watt
2407,29327,
1535,29330,220.0 pound
1536,29360,500
1555,29363,
2408,29364,120.0 volt
1537,29367,1.5 kilogram
2409,29386,20.0 volt
1538,29415,450.0 pound
1556,29424,
2410,29425,
2411,29430,
1557,29431,200.0 watt
2412,29443,
1539,29487,37.0 pound
2413,29489,
1558,29490,1700.0 watt
1540,29493,2.0 ton
2414,29494,
1541,29497,330.0 pound
1542,29519,265.0 pound
2415,29523,5.0 volt
1543,29543,275.0 pound
1544,29555,265.0 pound
1559,29567,
2416,29601,24.0 volt
1560,29602,1.70 watt
2417,29603,12.0 volt
1561,29604,
1545,29610,220.0 pound
2418,29617,
1562,29618,292860.0 watt
1563,29656,850.0 watt
1546,29658,20.0 kilogram
1419,29661,
2419,29682,120.0 volt
1564,29683,50.0 watt
1565,29720,1200.0 watt
2420,29721,
1547,29741,660.0 pound
1566,29750,
2421,29751,
1548,29776,300.0 kilogram
1567,29795,
2422,29796,60.0 volt
1549,29820,330.0 pound
1550,29851,480
1568,29856,34.0 watt
2423,29857,
1551,29858,220
1552,29887,350.0 pound
1348,29891,
1569,29892,
2424,29893,115.0 volt
1570,29897,22.0 watt
2425,29898,
1571,29901,
2426,29902,
1572,29914,
2427,29915,
1357,29929,
2428,29938,
1573,29939,
1362,29956,30.0 millilitre
2429,29970,12.0 volt
1574,29971,0.90 watt
1575,29973,
2430,29974,
1576,29980,
2431,29981,
2432,29985,
1577,29987,
2433,29988,
1553,30005,220.0 pound
1431,30022,250.0 millilitre
2434,30024,
1578,30025,1500.0 watt
1397,30056,2.0 fluid ounce
1554,30059,3
2435,30106,
1579,30107,1220.0 watt
1555,30119,650.0 pound
1277,30122,30.0 millilitre
1278,30130,473.0 millilitre
1556,30139,20.0 kilogram
1580,30155,
2436,30156,
1557,30159,48.0 pound
1581,30166,
2437,30167,
2438,30174,
2439,30205,
1558,30229,330.0 pound
1559,30258,
2440,30260,
1582,30272,1.0 watt
1583,30282,64.0 watt
2441,30283,
2442,30290,
1584,30291,
1339,30313,
1340,30316,15.0 millilitre
2443,30319,110.0 volt
1585,30320,1800.0 watt
1586,30332,
2444,30333,115.0 volt
1587,30335,0.80 watt
2445,30336,12.0 volt
1310,30373,
2446,30376,5.0 volt
2447,30383,3.80 volt
2448,30391,
1560,30421,60.0 pound
1567,30425,118.0 millilitre
1568,30433,710.0 millilitre
1574,30448,
1588,30459,4500.0 watt
2449,30460,
1561,30462,11.0 pound
1562,30470,300.0 pound
1563,30485,680.0 kilogram
2450,30488,48.0 volt
1564,30509,
2451,30511,
1565,30518,24
1589,30520,250.0 watt
2452,30526,110.0 volt
1590,30527,
2453,30528,
1591,30529,8001.0 watt
1592,30530,
2454,30531,
1593,30568,1500.0 watt
2455,30569,
1566,30570,2
2456,30574,
1594,30575,
2457,30576,
1567,30578,98.0 pound
2458,30596,
1595,30597,1800.0 watt
2459,30610,
1596,30611,37.0 watt
2460,30615,
1597,30616,36.0 watt
1631,30627,355.0 millilitre
1598,30637,1200.0 watt
1568,30679,400.0 pound
1599,30683,500.0 watt
2461,30684,
1607,30705,59.0 millilitre
1600,30711,
1569,30725,265.0 pound
1601,30727,
2462,30728,"[220.0, 240.0] volt"
2463,30735,80.0 volt
1602,30736,
2464,30742,12.0 volt
1603,30743,
1570,30744,935
1476,30752,
2465,30757,
1571,30767,99
1572,30768,400.0 pound
1604,30804,
2466,30805,
2467,30818,
1605,30820,
1573,30837,200.0 pound
1606,30839,
2468,30840,
1574,30845,330.0 pound
2469,30846,
1607,30859,60.0 watt
1608,30860,
